"ZooCountID","GearID","CellNumber","ZooCode","ZooCount"
8550948,NA,9,69,9
8550949,NA,9,34,49
8550950,NA,9,41,122
8550951,NA,9,86,4
8550952,NA,9,42,1
8550953,NA,9,29,3
8550954,NA,9,20,2
8551196,NA,1,11,1
8623011,NA,1,29,1
8623012,NA,1,49,1
8623013,NA,1,64,1
8623014,NA,1,61,1
8623015,NA,1,63,1
8623016,NA,1,62,1
8623017,NA,1,69,1
8623018,NA,1,90,2
8623019,NA,1,91,1
8623020,NA,1,88,1
8623021,NA,1,93,2
8623022,NA,1,92,1
8623023,NA,1,89,1
8623024,NA,1,11,2
8623025,NA,1,74,1
8623026,NA,1,2,1
8623027,NA,1,49,1
8623028,NA,1,40,1
8623029,NA,1,29,1
8623030,NA,1,20,1
8623031,NA,1,36,1
8623032,NA,1,34,1
8623033,NA,1,86,1
8623034,NA,1,35,1
8623035,NA,1,26,1
8623036,NA,1,23,1
8623037,NA,1,41,1
8623038,NA,1,42,1
8623039,NA,1,83,1
8623040,NA,1,84,1
8623041,NA,1,85,1
8623042,NA,1,80,1
8623043,NA,1,82,1
8623044,NA,1,81,1
8623045,NA,1,25,1
8623046,NA,1,22,1
8623047,NA,1,12,1
8623048,NA,1,87,1
8623049,NA,1,59,1
8623050,NA,1,32,1
8623051,NA,1,31,1
8623052,NA,1,37,1
8623053,NA,1,38,1
8623054,NA,1,44,1
8623055,NA,1,39,1
8623056,NA,1,45,1
8623057,NA,1,46,1
8623058,NA,1,36,1
8623059,NA,1,36,1
8623060,NA,1,26,1
8623061,NA,1,26,1
8623062,NA,1,63,2
8623063,NA,1,62,1
8623064,NA,1,69,1
