MethodCode,Location,StationCode,latitude_location,longitude_location
SEIN,American River,AM001S,38.59935675,-121.5057333
SEIN,King's Island,DS002S,38.05876504,-121.4583571
SEIN,Georgiana Slough,GS010E,38.22585563,-121.5271963
SEIN,Liberty Island,LI001E,38.241974,-121.6822745
SEIN,Liberty Island,LI001W,38.277443,-121.6942435
SEIN,Liberty Island,LI002E,38.246361,-121.6781385
SEIN,Liberty Island,LI002W,38.269292,-121.6913945
SEIN,Liberty Island,LI003E,38.255043,-121.6720725
SEIN,Liberty Island,LI003W,38.257888,-121.6902733
SEIN,Liberty Island,LI004E,38.26514,-121.6715572
SEIN,Liberty Island,LI004W,38.25268,-121.686264
SEIN,Liberty Island,LI005E,38.273775,-121.6669301
SEIN,Liberty Island,LI005W,38.244607,-121.6864208
SEIN,Liberty Island,LI006E,38.277432,-121.6660058
SEIN,Liberty Island,LI006W,38.282226,-121.6923514
SEIN,Liberty Island,LI007E,38.283997,-121.6655426
SEIN,Liberty Island,LI007W,38.282495,-121.6874303
SEIN,Liberty Island,LI008E,38.289305,-121.6672063
SEIN,Liberty Island,LI008W,38.287548,-121.6920158
SEIN,Liberty Island,LI009E,38.298324,-121.6677617
SEIN,Liberty Island,LI009W,38.291502,-121.6917733
SEIN,Liberty Island,LI010E,38.302559,-121.6677872
SEIN,Liberty Island,LI010W,38.302191,-121.6910438
SEIN,Liberty Island,LI011E,38.313598,-121.6676653
SEIN,Terminous,LP003E,38.10993564,-121.5001684
SEIN,B&W Marina,MK004W,38.12746155,-121.5804697
SEIN,Woodward Island,MR010W,37.9217722,-121.5287972
SEIN,Sherman Island,MS001N,38.05604444,-121.7855639
SEIN,Franks Tract,OR003W,38.031977,-121.581859
SEIN,Cruiser Haven,OR014W,37.92148633,-121.5558943
SEIN,Old River 1,OR019E,37.87674206,-121.5767796
SEIN,Union Island,OR023E,37.82567304,-121.551276
SEIN,Treasure Island,SA001M,37.81092979,-122.3675382
SEIN,Tiburon Beach,SA004W,37.89139123,-122.4948874
SEIN,Berkeley (Frontage Rd),SA007E,37.85143906,-122.3014014
SEIN,Paradise Beach,SA008W,37.89841496,-122.4668706
SEIN,Keller Beach ,SA009E,37.91779546,-122.3860448
SEIN,San Quentin Beach,SA010W,37.9395808,-122.4984841
MWTR,Benicia,SB001M,38.0515,-122.108137
MWTR,Benicia,SB001N,38.059663,-122.115107
MWTR,Benicia,SB001S,38.045136,-122.10333
MWTR,Benicia,SB001X,38.050972,-122.10818
MWTR,Chipps Island,SB018M,38.04598,-121.909917
MWTR,Chipps Island,SB018N,38.047967,-121.909917
MWTR,Chipps Island,SB018S,38.04283,-121.909917
MWTR,Chipps Island,SB018X,38.04365479,-121.9112847
SEIN,Wimpy's,SF014E,38.2269122,-121.4911887
SEIN,Antioch Dunes,SJ001S,38.01480683,-121.7827132
SEIN,Eddo's,SJ005N,38.05079336,-121.6994317
SEIN,Medford Island,SJ026S,38.05160734,-121.5098959
SEIN,Lost Isle,SJ032S,37.9973944,-121.4473917
SEIN,Dad's Point,SJ041N,37.95562193,-121.3462528
SEIN,Dos Reis,SJ051E,37.83069661,-121.3113902
KDTR,Mossdale,SJ054M,37.80534537,-121.3208502
SEIN,Mossdale,SJ056E,37.78703776,-121.3073651
SEIN,Weatherbee East,SJ058E,37.77127404,-121.3016392
SEIN,Weatherbee,SJ058W,37.77243915,-121.3030658
SEIN,Big Beach,SJ063W,37.72497212,-121.2968653
SEIN,Critchett Rd.,SJ065W,37.70940644,-121.2787764
SEIN,Durham Site,SJ068W,37.69692686,-121.2721691
SEIN,Durham Ferry,SJ070N,37.68741925,-121.2746579
SEIN,Sturgeon Bend (truck run),SJ074A,37.66621575,-121.2467263
SEIN,Sturgeon Bend,SJ074W,37.67227165,-121.244883
SEIN,N. of Rte 132,SJ076W,37.64758043,-121.2239856
SEIN,Route 132,SJ077E,37.63883594,-121.2274124
SEIN,San Luis Refuge,SJ079E,37.63161206,-121.2103708
SEIN,N. of Tuol. R.,SJ083W,37.6131828,-121.176304
SEIN,Grayson,SJ087W,37.58019,-121.164823
SEIN,McNears Beach,SP000W,37.99504183,-122.4550107
SEIN,China Camp,SP001W,38.00207391,-122.4672713
SEIN,Point Pinole East,SP003E,38.00703474,-122.3596151
SEIN,Stump Beach,SR012E,38.13272407,-121.6865463
SEIN,Sandy Beach,SR012W,38.1392889,-121.6949056
SEIN,Rio Vista,SR014W,38.18651797,-121.6626646
SEIN,Isleton,SR017E,38.16272799,-121.6115749
SEIN,Koket,SR024E,38.24039242,-121.5547949
MWTR,Hood,SR036E,38.345671,-121.547149
MWTR,Hood,SR036M,38.346228,-121.547479
MWTR,Hood,SR036W,38.346744,-121.54753
MWTR,Hood,SR037E,38.352899,-121.530598
MWTR,Hood,SR037M,38.353174,-121.532127
MWTR,Hood,SR037W,38.353518,-121.532247
MWTR,Hood,SR038E,38.364062,-121.520038
MWTR,Hood,SR038M,38.363999,-121.520875
MWTR,Hood,SR038W,38.364054,-121.521841
MWTR,Clarksburg,SR043M,38.429379,-121.532257
SEIN,Clarksburg,SR043W,38.38304913,-121.5208997
SEIN,Garcia Bend,SR049E,38.47805124,-121.543378
SEIN,Sherwood Harbor,SR055E,38.52739416,-121.5293747
"KDTR, MWTR",Sherwood Harbor,SR055M,38.5334833,-121.5239083
MWTR,Sherwood Harbor,SR055W,38.529586,-121.531403
"KDTR, MWTR",Sherwood Harbor,SR055X,38.533524,-121.522732
SEIN,Miller Park,SR057E,38.559775,-121.5163611
SEIN,Discovery Park,SR060E,38.60053595,-121.5091653
SEIN,Sand Cove,SR062E,38.5992222,-121.5428694
SEIN,Elkhorn,SR071E,38.67274584,-121.6248473
SEIN,Verona,SR080E,38.78414982,-121.6178397
SEIN,Knights Landing,SR090W,38.80134714,-121.723532
SEIN,Reels Beach,SR094E,38.85300492,-121.7265503
SEIN,Tisdale,SR119E,39.02464916,-121.8220253
SEIN,South Meridian,SR130E,39.1106217,-121.9032922
SEIN,Wards Landing,SR138E,39.1942668,-121.9371027
SEIN,Colusa St. Park,SR144W,39.21999207,-122.014965
SEIN,Steamboat Sl. (mouth),SS011N,38.30472188,-121.5749397
SEIN,Brannan Island,TM001N,38.11666073,-121.6837998
SEIN,Veale Tract,WD002W,37.95546975,-121.6042633
SEIN,Delta Cross Channel,XC001N,38.24552036,-121.5037624
