Year,Date,Survey,Station,Start Time,New Meter Start,New Meter End,Old Meter Start,Old Meter End
1986,9/9/1986,3,328,9:21,869288,926104,0,56816
1986,9/10/1986,3,401,8:09,0,19463,0,60535
1986,9/15/1986,3,813,12:15,851252,893794,0,42542
1987,9/8/1987,3,328,8:10,625949,684610,0,58661
1987,10/7/1987,4,603,8:40,319962,373958,0,53996
1988,9/15/1988,3,605,8:45,390432,417427,0,66100
1988,9/21/1988,3,807,12:14,336894,359098,0,83033
1992,1/14/1992,7,923,13:10,0,17910,169699,248518
1995,9/6/1995,3,302,14:23,0,19575,0,453641
1995,9/6/1995,3,305,13:11,0,19575,0,453641
1995,9/6/1995,3,306,13:00,0,19575,0,453641
1995,9/6/1995,3,307,12:38,0,19575,0,453641
1995,9/6/1995,3,308,13:45,0,19575,0,453641
1995,9/6/1995,3,309,13:30,0,19575,0,453641
1995,9/6/1995,3,310,14:45,0,19575,0,453641
1995,9/6/1995,3,311,14:07,0,19575,0,453641
1995,9/6/1995,3,314,10:22,0,19575,0,453641
1995,9/6/1995,3,318,10:46,0,19575,0,453641
1995,9/6/1995,3,329,6:27,0,19575,0,453641
1995,9/6/1995,3,330,10:00,0,19575,0,453641
1995,9/6/1995,3,331,9:40,0,19575,0,453641
1995,9/6/1995,3,332,9:27,0,19575,0,453641
1995,9/6/1995,3,333,9:06,0,19575,0,453641
1995,9/6/1995,3,334,8:53,0,19575,0,453641
1995,9/6/1995,3,335,8:36,0,19575,0,453641
1995,9/11/1995,3,504,8:25,0,19631,767989,809613
1996,8/5/1996,2,401,8:12,0,17268,0,122663
1996,8/5/1996,2,406,9:14,0,17268,0,122663
1996,8/5/1996,2,407,9:24,0,17268,0,122663
1996,8/5/1996,2,408,9:51,0,17268,0,122663
1996,8/6/1996,2,414,6:04,0,16016,0,122663
1996,8/6/1996,2,416,6:29,0,16016,0,122663
2001,1/8/2001,7,501,10:52,0,18007,0,900955
2001,1/8/2001,7,406,13:09,0,18007,0,63596
2001,1/8/2001,7,502,10:36,0,18007,0,63596
2004,9/17/2004,3,802,13:05,0,17234,0,177234
2008,9/18/2008,3,717,8:11,0,17187,0,68426
2010,12/1/2010,6,315,11:39,0,16676,0,166767
2010,12/1/2010,6,808,9:26,0,16676,0,166767
