"OrganismRowID","OrganismCode","Active","CommonName","Phylum","Class","Order","Family","Genus","Species","AlternateName","NameInSAS","OrganismSymbol","Comments","NormalizedCode"
1,"1",1,"Bat Ray","n/a","n/a","n/a","Myliobatidae","Myliobatis","californica",,"BATRAY",,,230
2,"-1",1,"Err Code-missing Ascii Data","n/a","n/a","n/a","n/a","n/a","n/a",,,,,-999
3,"10",1,"Pacific Lamprey","n/a","n/a","n/a","Petromyzontidae","Lampetra","tridentata",,"PLAMPREY",,,158
4,"100",1,"Moon Jellies","n/a","n/a","n/a","n/a","Aurelia spp.","n/a",,,,"First ID in 2001",277
5,"101",1,"Maeotias","n/a","n/a","n/a","n/a","Maeotias","marginata",,,,"First ID in 2001",271
6,"102",1,"Blackfordia","n/a","n/a","n/a","n/a","Blackfordia","virginica",,,,,268
7,"103",1,"Siberian Prawn","n/a","n/a","n/a","Palaemonidae","Exopalaemon","modestus",,,,"First ID in 2001",272
8,"104",1,"Redear Sunfish","n/a","n/a","n/a","Centrarchidae","Lepomis","macrolophus",,,,,162
9,"105",1,"Polyorchis","n/a","n/a","n/a","n/a","Polyorchis","penicillatus",,,,,267
10,"106",1,"Scrippsia pacifica","Cnidaria","Hydrozoa","Anthomedusae","Polyorchidae","Scrippsia","pacifica",,,,,
11,"107",1,"Comb Jelly or Sea Goosberry","Ctenophora","n/p","Cydippida","n/a","Pleurobrachia","bachei",,,,"First ID in 2004",
12,"108",1,"California Grunion","n/a","n/a","n/a","Atherinopsidae","Leuresthes","tenuis",,,,,
13,"109",1,"Striped Bass age-3+","n/a","n/a","n/a","Percichthyidae","Morone","saxatilis",,,,"Data before 2007 is inconsistant",
14,"11",1,"River Lamprey","n/a","n/a","n/a","Petromyzontidae","Lampetra","ayresi",,"RLAMPREY",,,208
15,"110",1,"Silver Surfperch","n/a","n/a","n/a","Embiotocidae","Hyperprosopon","ellipticum",,,,,
16,"111",1,"Aequorea spp. (Lens Jellyfish)","n/a","n/a","n/a","n/a","Aequorea spp.","n/a",,,,"Caught but not recorded in 2009.",
17,"112",1,"Riffle Sculpin","n/a","n/a","n/a","Cottidae","Cottus","gulosus",,,,,
18,"113",1,"Spotted Bass","n/a","n/a","n/a","Centrarchidae","Micropterus","punctulatus",,,,,
115,"114",1,"Rainwater Killifish","n/a","n/a","n/a","Fundulidae","Lucania","parva",,,,,
116,"115",1,"Chrysaora fuscensens","n/a","n/a","n/a","n/a","Chrysaora","fuscensens",,,,,
117,"116",1,"Lizardfish","Chordata","Actinopterygii","Aulopiformes","Synodontidae

Synodontidae","Synodus","lucioceps",,,,"First ID in 2013",
119,"117",1,"Mississippi Grass Shrimp","n/a","n/a","n/a","n/a","Palaemontetes","kadiakensis",,,,"First ID in 2013",
121,"118",1,"Shrimp (unid)","n/a","n/a","n/a","n/a","n/a","n/a","Shrimp unidentified",,,,
122,"119",1,"Goby (unid)","n/a","n/a","n/a","Gabiidae","n/a","n/a","Unknown goby",,,,
19,"12",1,"Mississippi Silverside","n/a","n/a","n/a","Atherinopsidae","Menidia","audens",,"INLSLVER",,,146
123,"120",1,"Unid","n/a","n/a","n/a","n/a","n/a","n/a","unidentified",,,,
124,"121",1,"Mud shrimp","Arthropoda","Malacostraca","Decapoda","Upogebiidae","Upogebia","spp.",,,,,
20,"13",1,"Northern Anchovy","n/a","n/a","n/a","Engraulidae","Engraulis","mordax",,"NANCHOVY",,,155
21,"14",1,"Plainfin Midshipman","n/a","n/a","n/a","Batrachoididae","Porichthys","notatus","northern midshipman","PMIDSHIP",,,152
22,"15",1,"Pacific Pompano","n/a","n/a","n/a","Stromateidae","Peprilus","simillimus","Pacific butterfish","PBUTTER",,,232
23,"16",1,"Pacific Herring","n/a","n/a","n/a","Clupeidae","Clupea","pallasi",,"PHERRING",,,157
24,"17",1,"Pacific Sanddab","n/a","n/a","n/a","Bothidae","Citharichthys","sordidus",,"PSANDAB",,,228
25,"18",1,"Pacific Tomcod","n/a","n/a","n/a","Gadidae","Microgadus","proximus",,"PTOMCOD",,,233
26,"19",1,"American Shad","n/a","n/a","n/a","Clupeidae","Alosa","sapidissima",,"AMERSHAD",,,126
27,"2",1,"Big Skate","n/a","n/a","n/a","Rajidae","Raja","binoculata",,"BIGSKATE",,,231
28,"20",1,"Threadfin Shad","n/a","n/a","n/a","Clupeidae","Dorosoma","petenense",,"TFINSHAD",,,175
29,"21",1,"Shiner Perch","n/a","n/a","n/a","Embiotocidae","Cymatogaster","aggregata","shiner perch","SHNRPRCH",,,168
30,"22",1,"Crangon Shrimp","n/a","n/a","n/a","Crangonidae","Carangon","spp.","bay shrimp","CRANGON",,"First ID in 1968",137
31,"23",1,"Palaemon spp.","n/a","n/a","n/a","Palaemonidae","Palaemon","macrodactylus","oriental shrimp","PALAEMON",,"First ID in 1971",156
32,"24",1,"Delta Smelt","n/a","n/a","n/a","Osmeridae","Hypomesus","transpacificus","pond smelt (old name)","DLTASMLT",,,138
33,"25",1,"Longfin Smelt","n/a","n/a","n/a","Osmeridae","Spirinchus","thaleichthys","Sacramento smelt (old name)","LNGFSMLT",,,149
34,"26",1,"Night Smelt","n/a","n/a","n/a","Osmeridae","Spirinchus","starski",,"NGHTSMLT",,,235
35,"27",1,"Surf Smelt","n/a","n/a","n/a","Osmeridae","Hypomesus","pretiosus",,"SURFSMLT",,,174
36,"28",1,"Whitebait Smelt","n/a","n/a","n/a","Osmeridae","Allosmerus","elongatus",,"WBATSMLT",,,236
37,"29",1,"Splittail","n/a","n/a","n/a","Cyprinidae","Pogonichthys","macrolepidotus","Sacramento splittail","SPLITAIL",,,169
38,"3",1,"Common Carp","n/a","n/a","n/a","Cyprinidae","Cyprinus","carpio",,"CARP",,,134
39,"30",1,"Pacific Staghorn Sculpin","n/a","n/a","n/a","Cottidae","Leptocottus","armatus",,"PSTGSCLP",,,170
40,"31",1,"Starry Flounder","n/a","n/a","n/a","Pleuronectidae","Platichthys","stellatus",,"STRFLNDR",,,173
41,"32",1,"Steelhead","n/a","n/a","n/a","Salmonidae","Oncorhynchus","mykiss","rainbow trout","STEELHED",,,161
42,"33",1,"Striped Bass age-0","n/a","n/a","n/a","Percichthyidae","Morone","saxatilis",,"STPBASS0",,,172
43,"34",1,"Striped Bass age-1","n/a","n/a","n/a","Percichthyidae","Morone","saxatilis",,"SPTBASS1",,,172
44,"35",1,"Striped Bass age-2","n/a","n/a","n/a","Percichthyidae","Morone","saxatilis",,"SPTBASS2",,,172
45,"36",1,"Green Sturgeon","n/a","n/a","n/a","Acipenseridae","Acipenser","medirostris",,"GRNSTURG",,,144
46,"37",1,"White Sturgeon","n/a","n/a","n/a","Acipenseridae","Acipenser","transmontanus",,"WHTSTURG",,,172
47,"38",1,"Threespine Stickleback","n/a","n/a","n/a","Gasterosteidae","Gasterosteus","aculeatus",,"STCKL3SP",,,171
48,"39",1,"Topsmelt","n/a","n/a","n/a","Atherinopsidae","Atherinops","affinis",,"TOPSMELT",,,176
49,"4",1,"Channel Catfish","n/a","n/a","n/a","Ictaluridae","Ictalurus","punctatus",,"CHANLCAT",,,135
50,"40",1,"Tule Perch","n/a","n/a","n/a","Embiotocidae","Hysterocarpus","traski",,"TULEPRCH",,,177
51,"41",1,"White Croaker","n/a","n/a","n/a","Sciaenidae","Genyonemus","lineatus","kingfish","WHTCROAK",,,181
52,"42",1,"Yellowfin Goby","n/a","n/a","n/a","Gobiidae","Acanthogobius","flavimanus",,"YELFGOBY",,,184
53,"43",1,"Walleye Surfperch","n/a","n/a","n/a","Embiotocidae","Hyperprosopon","argenteum",,"WALSPRCH",,,223
54,"44",1,"Rubberlip Seaperch","n/a","n/a","n/a","Embiotocidae","Rhacohilus","toxotes","rubberlip seaperch","RUBLPRCH",,,143
55,"45",1,"Calico Surfperch","n/a","n/a","n/a","Embiotocidae","Amphistichus","koelzi",,,,,224
56,"46",1,"Redtail Surfperch","n/a","n/a","n/a","Embiotocidae","Amphistichus","rhodoterus",,,,,163
57,"47",1,"Pile Perch","n/a","n/a","n/a","Embiotocidae","Rhacochilus","vacca","pile perch","PILEPRCH",,,237
58,"48",1,"Barred Surfperch","n/a","n/a","n/a","Embiotocidae","Amphistichus","argenteus",,,,,195
59,"49",1,"Black Perch","n/a","n/a","n/a","Embiotocidae","Embiotoca","jacksoni","black perch","BLKPERCH",,,238
60,"5",1,"White Catfish","n/a","n/a","n/a","Ictaluridae","Ameiurus","catus",,"WHITECAT",,,179
61,"50",1,"Dwarf Perch","n/a","n/a","n/a","Embiotocidae","Micrometrus","minimus","dwarf perch","DWFPERCH",,,254
62,"51",1,"Sacramento Perch","n/a","n/a","n/a","Centrarchidae","Archoplites","interruptus",,"SACPERCH",,,214
63,"52",1,"Bluegill","n/a","n/a","n/a","Centrarchidae","Lepomis","macrochirus",,"BLUEGILL",,,131
64,"53",1,"Green Sunfish","n/a","n/a","n/a","Centrarchidae","Lepomis","cyanellus",,"GRNSNFSH",,,143
65,"54",1,"Warmouth","n/a","n/a","n/a","Centrarchidae","Lepomis","gulosus",,,,,183
66,"55",1,"Largemouth Bass","n/a","n/a","n/a","Centrarchidae","Micropterus","salmoides",,"LMTHBASS",,,148
67,"56",1,"Broadnose Sevengill Shark","n/a","n/a","n/a","Hexanchidae","Notorynchus","cepedianus",,"SEVNGSHK",,,240
68,"57",1,"Spiny Dogfish","n/a","n/a","n/a","Squalidae","Squalus","acanthias",,"SPINYDOG",,,241
69,"58",1,"Leopard Shark","n/a","n/a","n/a","Carcharhinidae","Triakis","semifasciata",,"LEOPSHRK",,,226
70,"59",1,"Brown Wmoothhound","n/a","n/a","n/a","Carcharhinidae","Mustelus","henlei",,"BRNSMHND",,,225
71,"6",1,"Black Crappie","n/a","n/a","n/a","Centrarchidae","Pomoxis","nigromaculatus",,"BLKCRAPP",,,130
72,"60",1,"California Skate","n/a","n/a","n/a","Rajidae","Raja","inornata",,,,,270
73,"61",1,"Hitch","n/a","n/a","n/a","Cyprinidae","Lavinia","exilicauda",,"HITCH",,,145
74,"62",1,"Sacramento Blackfish","n/a","n/a","n/a","Cyprinidae","Orthodon","microlepidotus",,"SACBLAKF",,,163
75,"63",1,"Sacramento Pikeminnow","n/a","n/a","n/a","Cyprinidae","Ptychocheilus","grandis","Sacramento pikeminnow","SACSQUAW",,,164
76,"64",1,"Goldfish","n/a","n/a","n/a","Cyprinidae","Carassius","auratus",,"GOLDFISH",,,142
77,"65",1,"Golden Shiner","n/a","n/a","n/a","Cyprinidae","Notemigonus","crysoleucas",,"GOLDSHNR",,,141
78,"66",1,"Sacramento Sucker","n/a","n/a","n/a","Catostomidae","Catostomus","occidentalis",,"SACSUCKR",,,165
79,"67",1,"Grey Smoothhound","n/a","n/a","n/a","Carcharhinidae","Mustelus","californicus",,"GRYSMHND",,,242
80,"68",1,"Black Bullhead","n/a","n/a","n/a","Ictaluridae","Ameiurus","melas",,,,,129
81,"69",1,"Brown Bullhead","n/a","n/a","n/a","Ictaluridae","Ameiurus","nebulosus",,"BRNBULHD",,,132
82,"7",1,"White Crappie","n/a","n/a","n/a","Centrarchidae","Pomoxis","annularis",,"WHTCRAPP",,,180
83,"70",1,"Western Mosquitofish","n/a","n/a","n/a","Poeciliidae","Gambusia","affinis","western mosquitofish","MOSQUITO",,,153
84,"71",1,"Bay Pipefish","n/a","n/a","n/a","Syngnathidae","Syngnathus","leptorhynchus",,"BAYPIPEF",,,127
85,"72",1,"Bigscale Logperch","n/a","n/a","n/a","Percidae","Percina","macrolepida",,"BSCALELG",,,128
86,"73",1,"Prickly Sculpin","n/a","n/a","n/a","Cottidae","Cottus","asper",,"PRCKSCUL",,,159
87,"74",1,"Bay Goby","n/a","n/a","n/a","Gobiidae","Lepidogobius","lepidus",,"BAYGOBY",,,194
88,"75",1,"Cheekspot Goby","n/a","n/a","n/a","Gobiidae","Ilypnus","gilberti",,,,,257
89,"76",1,"Arrow Goby","n/a","n/a","n/a","Gobiidae","Clevelandia","ios",,"AROWGOBY",,,227
90,"77",1,"California Tonguefish","n/a","n/a","n/a","Soleidae","Symphurus","atricauda",,,,,274
91,"78",1,"California Halibut","n/a","n/a","n/a","Bothidae","Paralichthys","californicus",,"CHALIBUT",,,133
92,"79",1,"Pacific Halibut","n/a","n/a","n/a","Pleuronectidae","Hippoglossus","stenolepis",,"PHALIBUT",,,244
93,"8",1,"Jacksmelt","n/a","n/a","n/a","Atherinopsidae","Atherinopsis","californiensis",,"JACKSMLT",,,201
94,"80",1,"Speckled Sanddab","n/a","n/a","n/a","Bothidae","Citharichthys","stigmaeus",,"SPKSANDB",,,166
95,"81",1,"Sand Sole","n/a","n/a","n/a","Pleuronectidae","Psettichthys","melanostictus",,"SANDSOLE",,,245
96,"82",1,"Diamond Turbot","n/a","n/a","n/a","Pleuronectidae","Hypsopsetta","guttulata",,"DIATURBT",,,198
97,"83",1,"English Sole","n/a","n/a","n/a","Pleuronectidae","Pleuronectes","vetulus",,"ENGLSOLE",,,199
98,"84",1,"Flatfish","n/a","n/a","n/a","Pleuronectiformes","n/a","n/a",,"FLATFISH",,,246
99,"85",1,"Rock Sole","n/a","n/a","n/a","Pleuronectidae","Pleuronectes","bilineatus",,"ROCKSOLE",,,247
100,"86",1,"Lingcod","n/a","n/a","n/a","Hexagrammidae","Ophiodon","elongatus",,"LINGCOD",,,248
101,"87",1,"Wolf Eel","n/a","n/a","n/a","Anarhichadidae","Anarrhichthys","ocellatus",,"WOLFEEL",,,249
102,"88",1,"Smelt Family","n/a","n/a","n/a","Cyprinidae","n/a","n/a",,"SMLTFMLY",,,211
103,"89",1,"Spotfin Surfperch","n/a","n/a","n/a","Embiotocidae","Hyperprosopon","anale",,"SPTFPRCH",,,250
104,"9",1,"Chinook Salmon","n/a","n/a","n/a","Salmonidae","Oncorhynchus","tshawytscha",,"CHINSALM",,,136
105,"90",1,"White Seaperch","n/a","n/a","n/a","Embiotocidae","Phanerodon","furcatus","white seaperch, white perch","WHTSPRCH",,,251
106,"91",1,"Pacific Electric Ray","n/a","n/a","n/a","Torpedinidae","Torpedo","californica",,"PACELRAY",,,252
107,"92",1,"Chameleon Goby","n/a","n/a","n/a","Gobiidae","Tridentiger","trigonocephalus",,"CAMLGOBY",,,197
108,"93",1,"Wakasagi","n/a","n/a","n/a","Osmeridae","Hypomesus","nipponensis",,"WAKASAGI",,,178
109,"94",1,"Smallmouth Bass","n/a","n/a","n/a","Centrarchidae","Micropterus","dolomieu",,,,,188
110,"95",1,"Shimofuri Goby","n/a","n/a","n/a","Gobiidae","Tridentiger","bifasciatus",,"SHIMGOBY",,,167
111,"96",1,"Pacific Sardine","n/a","n/a","n/a","Clupeidae","Sardinops","sagax",,"PACSARDN",,,253
112,"97",1,"Shokihaze Goby","n/a","n/a","n/a","Gobiidae","Tridentiger","barbatus",,"SHOKGOBY",,,273
113,"98",1,"Jellyfish","n/a","n/a","n/a","n/a","n/a","n/a",,"JELLYFSH",,"First ID in 1998",276
114,"99",1,"White Sea Bass","Osteichthyes","n/a","n/a","Sciaenidae","Atractoscion","nobilis",,"WSEABASS",,,
