"Sort.Order","Station","LatDeg","LatMin","LatSec","LongDec","LongMin","LongSec","Depth","Location","Station.Origin"
1,"340",38,5,57.2000007629395,122,15,47.7999992370605,10,"Napa River along vallejo seawall and park","Townet"
2,"405",38,2,23.7000007629395,122,8,48.2000007629395,10,"Carquinez Strait just West of Benicia Army Dock","Townet"
3,"411",38,3,0.800000011920929,122,4,35.5,10,"Suisun Bay, West of Point Edith","Townet"
4,"418",38,4,3,122,5,44,35,"Suisun Bay, Mothball Fleet, opposite Avon Oil docks","Townet"
5,"501",38,4,24,122,1,34.7999992370605,30,"Suisun Bay, between Roe and Ryer Island, along Roe island","Townet"
6,"504",38,3,7,121,59,9.89999961853027,26,"Suisun Bay, South bank, East of Middle Point","Townet"
7,"519",38,4,29.1000003814697,121,57,29.1000003814697,9,"Honker Bay, West End at Dolphin","Townet"
8,"602",38,6,56,122,2,32.6100006103516,4,"Grizzly Bay, NorthEast of Suisuin Slough Dolphin","Townet"
9,"606",38,10,14.1000003814697,122,1,40.5,25,"Montezuma Slough off JoiceIsland at PG&E Cable crossing","Townet"
10,"609",38,10,1.5,121,56,16.2000007629395,33,"Montezuma Slough at Nurse Slough","Townet"
11,"610",38,7,19.8999996185303,121,53,20.7999992370605,13,"Montezuma Slough at road from Birds Landing","Townet"
12,"508",38,2,49.7999992370605,121,55,2,55,"Suisun Bay, off Chipps Island opposite Sac N. Ferry Slip","Townet"
13,"513",38,3,31.8999996185303,121,52,3.90000009536743,30,"Sacramento River, between VanSickle and Winter Islands, at light 34","Townet"
14,"520",38,1,55.7999992370605,121,51,47.2000007629395,38,"New York Slough, West end along Pittsburg Docks","Townet"
15,"801",38,2,37.2999992370605,121,50,38.4000015258789,22,"Middle of Broad Slough, West End","Townet"
16,"804",38,0,59.2000007629395,121,47,28.7000007629395,30,"San Joaquin River, 1km upstream of Mouth","Townet"
17,"704",38,3,59.7000007629395,121,47,25.1200008392334,26,"Sacramento River, North side across from Sherman Lake","Townet"
18,"706",38,5,9.89999961853027,121,45,1.60000002384186,22,"Sacramento River, below South tip of Decker Island","Townet"
19,"707",38,6,52.9000015258789,121,42,28.2999992370605,24,"Sacramento River, at 3 Mile Slough in channel from lights 19 to 21","Townet"
20,"711",38,10,38.7000007629395,121,39,44.0999984741211,13,"Sacramento river at tip of Grand Island","Townet"
21,"712",38,11,29.2999992370605,121,38,21.2000007629395,10,"Steamboat Slough North of windmill between siphons","FMWT"
22,"713",38,12,23.2999992370605,121,39,39.7999992370605,40,"Cache Slough North of light 43","FMWT"
23,"715",38,13,32.7999992370605,121,40,30.1000003814697,38,"Cache Slough North of light 47","FMWT"
24,"716",38,15,27.7000007629395,121,41,30.8999996185303,30,"Cache Slough North of cable ferry 1 & 51 near boat sheds","FMWT"
25,"719",38,20,0.600000023841858,121,38,51,33,"Sac Deep Water Ship Channel between lights 59 and 60",NA
26,"724",38,14,13.1000003814697,121,33,31.6000003814697,26,"Sacramento river at Ryde Hotel","FMWT"
27,"809",38,3,13.6000003814697,121,41,34.9000015258789,42,"San Joaquin River, North Channel opposite jersey Point, under PG&E towers","Townet"
28,"812",38,5,23.7000007629395,121,38,23.7000007629395,20,"San Joaquin River, Just west of Oulton Point","Townet"
29,"815",38,5,13.6999998092651,121,34,16.1000003814697,17,"San Joaquin River, mouth of little potato slough, between lights 19 and 51","Townet"
30,"902",38,1,13.3999996185303,121,34,57.5999984741211,26,"Old River, start at boat dock on Holland Tract levee","Townet"
31,"906",38,3,0.100000001490116,121,30,23.2999992370605,38,"San Joaquin River at Medford Island, between lights 8 &10","Townet"
32,"910",38,0,18,121,27,10.8999996185303,38,"San Joaquin River, between Hog and Turner Cut, at light 21","Townet"
33,"912",37,57,59.0999984741211,121,22,6.80000019073486,40,"San Joaquin River, at mouth of Calaveras River, at light 41","Townet"
34,"914",37,58,17.3999996185303,121,31,12,31,"Middle River at Empire Cut, along east arm of river","Townet"
35,"915",37,56,39.4000015258789,121,34,4.40000009536743,30,"Old River at western arm at Railroad Bridge.","Townet"
36,"919",38,6,18.7000007629395,121,29,40.5,22,"Little Potato Slough, 0.5 mile east of Terminous","Townet"
37,"920",38,8,30.3999996185303,121,30,14.6000003814697,25,"South Fork Mokelumne River at Sycamore Slough","Townet"
38,"921",38,9,55.7999992370605,121,29,34.9000015258789,12,"South Mokelumne River at Mouth of Hog Slough","Townet"
39,"922",38,12,16.8999996185303,121,28,44.5999984741211,15,"South Mokelumne River at mouth of Beaver Slough","Townet"
40,"923",38,8,8.5,121,33,46.0999984741211,13,"South Mokelumne river in bend above S. Moke River","Townet"
