OrganismCode,CommonName,Family,Genus,Species,AlternateName,NameInSAS,Comments
0,No Catch,,,,,,
1,bat ray,Myliobatidae,Myliobatis,californica,,BATRAY,
2,big skate,Rajidae,Raja,binoculata,,BIGSKATE,
3,common carp,Cyprinidae,Cyprinus,carpio,,CARP,
4,channel catfish,Ictaluridae,Ictalurus,punctatus,,CHANLCAT,
5,white catfish,Ictaluridae,Ameiurus,catus,,WHITECAT,
6,black crappie,Centrarchidae,Pomoxis,nigromaculatus,,BLKCRAPP,
7,white crappie,Centrarchidae,Pomoxis,annularis,,WHTCRAPP,
8,jacksmelt,Atherinidae,Atherinopsis,californiensis,,JACKSMLT,
9,chinook salmon,Salmonidae,Oncorhynchus,tshawytscha,,CHINSALM,
10,Pacific lamprey,Petromyzontidae,Lampetra,tridentata,,PLAMPREY,
11,river lamprey,Petromyzontidae,Lampetra,ayresi,,RLAMPREY,
12,inland silverside,Atherinidae,Menidia,beryllina,,INLSLVER,
13,northern anchovy,Engraulidae,Engraulis,mordax,,NANCHOVY,
14,plainfin midshipman,Batrachoididae,Porichthys,notatus,northern midshipman,PMIDSHIP,
15,Pacific pompano,Stromateidae,Peprilus,simillimus,Pacific butterfish,PBUTTER,
16,Pacific herring,Clupeidae,Clupea,pallasi,,PHERRING,
17,Pacific sanddab,Bothidae,Citharichthys,sordidus,,PSANDAB,
18,Pacific tomcod,Gadidae,Microgadus,proximus,,PTOMCOD,
19,American shad,Clupeidae,Alosa,sapidissima,,AMERSHAD,
20,threadfin shad,Clupeidae,Dorosoma,petenense,,TFINSHAD,
21,shiner surfperch,Embiotocidae,Cymatogaster,aggregata,shiner perch,SHNRPRCH,
22,crangon shrimp,Crangonidae,Carangon,spp.,bay shrimp,CRANGON,
23,palaemon shrimp,Palaemonidae,Palaemon,macrodactylus,oriental shrimp,PALAEMON,
24,delta smelt,Osmeridae,Hypomesus,transpacificus,pond smelt (old name),DLTASMLT,
25,longfin smelt,Osmeridae,Spirinchus,thaleichthys,Sacramento smelt (old name),LNGFSMLT,
26,night smelt,Osmeridae,Spirinchus,starski,,NGHTSMLT,
27,surf smelt,Osmeridae,Hypomesus,pretiosus,,SURFSMLT,
28,whitebait smelt,Osmeridae,Allosmerus,elongatus,,WBATSMLT,
29,splittail,Cyprinidae,Pogonichthys,macrolepidotus,Sacramento splittail,SPLITAIL,
30,Pacific staghorn sculpin,Cottidae,Leptocottus,armatus,,PSTGSCLP,
31,starry flounder,Pleuronectidae,Platichthys,stellatus,,STRFLNDR,
32,steelhead,Salmonidae,Oncorhynchus,mykiss,rainbow trout,STEELHED,
33,striped bass age 0,Percichthyidae,Morone,saxatilis,,STPBASS0,
34,striped bass age 1,Percichthyidae,Morone,saxatilis,,SPTBASS1,
35,striped bass age 2,Percichthyidae,Morone,saxatilis,,SPTBASS2,
36,green sturgeon,Acipenseridae,Acipenser,medirostris,,GRNSTURG,
37,white sturgeon,Acipenseridae,Acipenser,transmontanus,,WHTSTURG,
38,threespine stickleback,Gasterosteidae,Gasterosteus,aculeatus,,STCKL3SP,
39,topsmelt,Atherinidae,Atherinops,affinis,,TOPSMELT,
40,tule perch,Embiotocidae,Hysterocarpus,traski,,TULEPRCH,
41,white croaker,Sciaenidae,Genyonemus,lineatus,kingfish,WHTCROAK,
42,yellowfin goby,Gobiidae,Acanthogobius,flavimanus,,YELFGOBY,
43,walleye surfperch,Embiotocidae,Hyperprosopon,argenteum,,WALSPRCH,
44,rubberlip surfperch,Embiotocidae,Rhacohilus,toxotes,rubberlip seaperch,RUBLPRCH,
45,calico surfperch,Embiotocidae,Amphistichus,koelzi,,,
46,redtail surfperch,Embiotocidae,Amphistichus,rhodoterus,,,
47,pile surfperch,Embiotocidae,Rhacochilus,vacca,pile perch,PILEPRCH,
48,barred surfperch,Embiotocidae,Amphistichus,argenteus,,,
49,black surfperch,Embiotocidae,Embiotoca,jacksoni,black perch,BLKPERCH,
50,dwarf surfperch,Embiotocidae,Micrometrus,minimus,dwarf perch,DWFPERCH,
51,Sacramento perch,Centrarchidae,Archoplites,interruptus,,SACPERCH,
52,bluegill,Centrarchidae,Lepomis,macrochirus,,BLUEGILL,
53,green sunfish,Centrarchidae,Lepomis,cyanellus,,GRNSNFSH,
54,warmouth,Centrarchidae,Lepomis,gulosus,,,
55,largemouth bass,Centrarchidae,Micropterus,salmoides,,LMTHBASS,
56,sevengill shark,Hexanchidae,Notorynchus,cepedianus,,SEVNGSHK,
57,spiny dogfish,Squalidae,Squalus,acanthias,,SPINYDOG,
58,leopard shark,Carcharhinidae,Triakis,semifasciata,,LEOPSHRK,
59,brown smoothhound,Carcharhinidae,Mustelus,henlei,,BRNSMHND,
60,California skate,Rajidae,Raja,inornata,,,
61,hitch,Cyprinidae,Lavinia,exilicauda,,HITCH,
62,Sacramento blackfish,Cyprinidae,Orthodon,microlepidotus,,SACBLAKF,
63,Sacramento pikeminnow,Cyprinidae,Ptychocheilus,grandis,Sacramento squawfish,SACSQUAW,
64,goldfish,Cyprinidae,Carassius,auratus,,GOLDFISH,
65,golden shiner,Cyprinidae,Notemigonus,crysoleucas,,GOLDSHNR,
66,Sacramento sucker,Catostomidae,Catostomus,occidentalis,,SACSUCKR,
67,grey smoothhound,Carcharhinidae,Mustelus,californicus,,GRYSMHND,
68,black bullhead,Ictaluridae,Ameiurus,melas,,,
69,brown bullhead,Ictaluridae,Ameiurus,nebulosus,,BRNBULHD,
70,mosquitofish,Poeciliidae,Gambusia,affinis,western mosquitofish,MOSQUITO,
71,bay pipefish,Syngnathidae,Syngnathus,leptorhynchus,,BAYPIPEF,
72,bigscale logperch,Percidae,Percina,macrolepida,,BSCALELG,
73,prickly sculpin,Cottidae,Cottus,asper,,PRCKSCUL,
74,bay goby,Gobiidae,Lepidogobius,lepidus,,BAYGOBY,
75,cheekspot goby,Gobiidae,Ilypnus,gilberti,,,
76,arrow goby,Gobiidae,Clevelandia,ios,,AROWGOBY,
77,California tonguefish,Soleidae,Symphurus,atricauda,,,
78,California halibut,Bothidae,Paralichthys,californicus,,CHALIBUT,
79,Pacific halibut,Pleuronectidae,Hippoglossus,stenolepis,,PHALIBUT,
80,speckled sanddab,Bothidae,Citharichthys,stigmaeus,,SPKSANDB,
81,sand sole,Pleuronectidae,Psettichthys,melanostictus,,SANDSOLE,
82,diamond turbot,Pleuronectidae,Hypsopsetta,guttulata,,DIATURBT,
83,English sole,Pleuronectidae,Pleuronectes,vetulus,,ENGLSOLE,
84,flatfish,Pleuronectiformes,n/a,n/a,,FLATFISH,
85,rock sole,Pleuronectidae,Pleuronectes,bilineatus,,ROCKSOLE,
86,lingcod,Hexagrammidae,Ophiodon,elongatus,,LINGCOD,
87,wolf-eel,Anarhichadidae,Anarrhichthys,ocellatus,,WOLFEEL,
88,Unidentified (UNID),,,,,,
89,spotfin surfperch,Embiotocidae,Hyperprosopon,anale,,SPTFPRCH,
90,white surfperch,Embiotocidae,Phanerodon,furcatus,"white seaperch, white perch",WHTSPRCH,
91,Pacific electric ray,Torpedinidae,Torpedo,californica,,PACELRAY,
92,chameleon goby,Gobiidae,Tridentiger,trigonocephalus,,CAMLGOBY,
93,wakasagi,Osmeridae,Hypomesus,nipponensis,,WAKASAGI,
94,smallmouth bass,Centrarchidae,Micropterus,dolomieu,,,
95,shimofuri goby,Gobiidae,Tridentiger,bifasciatus,,SHIMGOBY,
96,Pacific sardine,Clupeidae,Sardinops,sagax,,PACSARDN,
97,shokihaze goby,Gobiidae,Tridentiger,barbatus,,SHOKGOBY,
98,Jellyfish,,,,,JELLYFSH,
99,White Sea Bass,,,,,WSEABASS,
100,Moon Jellies,,Aurelia spp.,,,,
101,Maeotias,,Maeotias,marginata,,,
102,Blackfordia,,Blackfordia,virginica,,,
103,Siberian prawn,Palaemonidae,Exopalaemon,modestus,,,
104,redear sunfish,Centrarchidae,Lepomis,macrolophus,,,
105,Centrarchid (UNID),Centrarchidae,,,,,
106,spotted bass,Centrarchidae,Microterus,punctulatus,,,
107,Bell Jelly,Polyorchidae,Polyorchis,spp,Bell Jelly,,
110,Calculator fish,,,,,,
111,Rainwater Killifish,,,,,,
112,Striped Mullet,Mugilidae,Mugil,cephalus,,,
113,Lamprey (ammocoete),Petromyzontidae,,,,,
114,Pleurobrachia,,,,,,
115,Mississippi Grass Shrimp,Palaemonidae,Palaemonetes,kadiakensis,,,
